[15:03:01] Start!!
[15:03:02] 0.9595869 mAp
[15:03:02] 0.96202 mAp
[15:03:02] 0.9645227 mAp
[15:03:02] 0.9664387 mAp
[15:03:02] 0.9670566 mAp
[15:03:02] 0.9669614 mAp
[15:03:02] 0.966617 mAp
[15:03:02] 0.9663588 mAp
[15:03:02] 0.9661579 mAp
[15:03:02] 0.9656736 mAp
[15:03:02] 0.9658167 mAp
[15:03:02] 0.9659359 mAp
[15:03:02] 0.9651762 mAp
[15:03:02] 0.9643217 mAp
[15:03:02] 0.9637558 mAp
[15:03:02] 0.9633173 mAp
[15:03:02] 0.9629303 mAp
[15:03:02] 0.9627879 mAp
[15:03:02] 0.9625702 mAp
[15:03:02] 0.962283 mAp
[15:03:02] 0.9620231 mAp
[15:03:02] 0.9616839 mAp
[15:03:02] 0.9616509 mAp
[15:03:02] 0.9612153 mAp
[15:03:02] 0.9609571 mAp
[15:03:02] 0.9605598 mAp
[15:03:02] 0.9602519 mAp
[15:03:04] 0.960567 mAp
[15:03:04] 0.961113 mAp
[15:03:04] 0.9617503 mAp
[15:03:04] 0.9623466 mAp
[15:03:04] 0.9633926 mAp
[15:03:04] 0.9643751 mAp
[15:03:04] 0.9653 mAp
[15:03:04] 0.965583 mAp
[15:03:04] 0.9653977 mAp
[15:03:04] 0.9650763 mAp
[15:03:04] 0.96474 mAp
[15:03:04] 0.9644375 mAp
[15:03:04] 0.9641502 mAp
[15:03:04] 0.9643643 mAp
[15:03:04] 0.9644187 mAp
[15:03:04] 0.9643598 mAp
[15:03:04] 0.9643036 mAp
[15:03:04] 0.9641379 mAp
[15:03:04] 0.964472 mAp
[15:03:04] 0.9642016 mAp
[15:03:04] 0.9640289 mAp
[15:03:04] 0.9637781 mAp
[15:03:04] 0.9634247 mAp
[15:03:04] 0.9635527 mAp
[15:03:04] 0.9638036 mAp
[15:03:04] 0.9641022 mAp
[15:03:04] 0.9643897 mAp
[15:03:04] 0.9650099 mAp
[15:03:04] 0.9656079 mAp
[15:03:04] 0.966185 mAp
[15:03:04] 0.9663585 mAp
[15:03:04] 0.9662361 mAp
[15:03:04] 0.9660254 mAp
[15:03:04] 0.9657977 mAp
[15:03:04] 0.9655865 mAp
[15:03:04] 0.965382 mAp
[15:03:04] 0.9655174 mAp
[15:03:04] 0.9655548 mAp
[15:03:04] 0.9655156 mAp
[15:03:04] 0.9654775 mAp
[15:03:04] 0.9653563 mAp
[15:03:04] 0.9656546 mAp
[15:03:04] 0.9654583 mAp
[15:03:04] 0.965339 mAp
[15:03:04] 0.9651517 mAp
[15:03:04] 0.9648909 mAp
[15:03:04] 0.9649801 mAp
[15:03:04] 0.9651936 mAp
[15:03:04] 0.9654557 mAp
[15:03:04] 0.965711 mAp
[15:03:04] 0.9658563 mAp
[15:03:04] 0.9657723 mAp
[15:03:04] 0.9656202 mAp
[15:03:04] 0.9654522 mAp
[15:03:04] 0.9652952 mAp
[15:03:04] 0.96557 mAp
[15:03:04] 0.9654153 mAp
[15:03:04] 0.9656823 mAp
[15:03:04] 0.965777 mAp
[15:03:04] 0.9657862 mAp
[15:03:04] 0.9657377 mAp
[15:03:04] 0.9656903 mAp
[15:03:04] 0.9655907 mAp
[15:03:04] 0.965718 mAp
[15:03:04] 0.9655666 mAp
[15:03:04] 0.9654668 mAp
[15:03:04] 0.9653188 mAp
[15:03:04] 0.9651166 mAp
[15:03:04] 0.965183 mAp
[15:03:04] 0.965336 mAp
[15:03:04] 0.9655221 mAp
[15:03:04] 0.9657043 mAp
[15:03:04] 0.9658168 mAp
[15:03:04] 0.9657513 mAp
[15:03:04] 0.9656326 mAp
[15:03:04] 0.9655004 mAp
[15:03:04] 0.9653762 mAp
[15:03:04] 0.9654995 mAp
[15:03:04] 0.9653776 mAp
[15:03:04] 0.9654985 mAp
[15:03:04] 0.9655741 mAp
[15:03:04] 0.9655813 mAp
[15:03:04] 0.9655427 mAp
[15:03:04] 0.9655048 mAp
[15:03:04] 0.9654259 mAp
[15:03:04] 0.9655206 mAp
[15:03:04] 0.9654002 mAp
[15:03:04] 0.9653207 mAp
[15:03:04] 0.9652016 mAp
[15:03:04] 0.9650385 mAp
[15:03:04] 0.9650937 mAp
[15:03:04] 0.965219 mAp
[15:03:04] 0.9653708 mAp
[15:03:04] 0.9655202 mAp
[15:03:04] 0.9656144 mAp
[15:03:04] 0.9655623 mAp
[15:03:04] 0.9654663 mAp
[15:03:04] 0.9653584 mAp
[15:03:04] 0.9652568 mAp
[15:03:04] 0.9653383 mAp
[15:03:04] 0.9652385 mAp
[15:03:04] 0.9653189 mAp
[15:03:04] 0.9653831 mAp
[15:03:04] 0.9653898 mAp
[15:03:04] 0.9653587 mAp
[15:03:04] 0.965328 mAp
[15:03:04] 0.9652632 mAp
[15:03:04] 0.9653411 mAp
[15:03:04] 0.9652416 mAp
[15:03:04] 0.9651765 mAp
[15:03:04] 0.9650775 mAp
[15:03:04] 0.964941 mAp
[15:03:04] 0.9650484 mAp
[15:03:04] 0.9652466 mAp
